,Name,Category,Year,Profession,Place,Gender,Birthdate,Age,Description,Link,Country
0,George W. Bush ,LEADERS,2004,43rd U.S. President,"New Haven, CT",Male,1946-07-06,74,"George Walker Bush is an American politician and businessman who served as the 43rd president of the United States from 2001 to 2009. A member of the Republican Party, he had previously served as the 46th governor of Texas from 1995 to 2000. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971022,00.html",USA
1,Hu Jintao ,LEADERS,2004,Former President of the People's Republic of China,"Taizhou, China",Male,1942-12-21,77,"Hu Jintao is a Chinese politician, who was General Secretary of the Chinese Communist Party from 2002 to 2012, President of the People's Republic of China from 2003 to 2013 and Chairman of the Central Military Commission from 2004 to 2012. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971028,00.html",China
2,Luiz Inácio Lula da Silva ,LEADERS,2004,Former President of Brazil,"Caetés, Brazil",Male,1945-10-27,75,"Luiz Inácio Lula da Silva, known as Lula, is a Brazilian politician and former union leader who served as the 35th President of Brazil from 1 January 2003 to 31 December 2010. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971031,00.html",Brazil
3,Ali Husaini Sistani ,LEADERS,2004,Ayatollah,"Mashhad, Iran",Male,1930-08-03,90,"Grand Ayatollah Sayyid Ali al-Husayni al-Sistani, commonly known as Ayatollah Sistani, is one of the most influential Iraqi Shia marja' of Iranian origins living in Iraq. He is described as the leading spiritual leader of Iraqi Shia Muslims, and one of the most senior clerics in Shia Islam. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971034,00.html",Iran
4,Toshihiko Fukui ,LEADERS,2004,Japanese economist,"Osaka, Osaka, Japan",Male,1935-09-07,85,Toshihiko Fukui is a Japanese economist and central banker. He was the 29th Governor of the Bank of Japan and a Director of the Bank for International Settlements. ,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971048,00.html",Japan
5,Abu al-Zarqawi ,LEADERS,2004,Terrorist,"Zarqa, Jordan",Male,1966-10-30,0,"Abu Musab al-Zarqawi, born Ahmad Fadeel al-Nazal al-Khalayleh, was a Jordanian jihadist who ran a terrorist training camp in Afghanistan. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971049,00.html",Jordan
6,Kofi Annan ,LEADERS,2004,Ghanaian diplomat,"Kumasi, Ghana",Male,1938-04-08,0,Kofi Atta Annan was a Ghanaian diplomat who served as the seventh Secretary-General of the United Nations from January 1997 to December 2006. Annan and the UN were the co-recipients of the 2001 Nobel Peace Prize. ,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971056,00.html",Ghana
7,Condoleeza Rice ,LEADERS,2004,Former United States Secretary of State,"Birmingham, AL",Female,1954-11-14,66,"Condoleezza ""Condi"" Rice is an American diplomat, political scientist, civil servant, and professor who is the current Director of the Hoover Institution at Stanford University. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971057,00.html",USA
8,Recep Tayyip Erdogan ,LEADERS,2004,President of Turkey,"Kasımpaşa, Beyoğlu, Turkey",Male,1954-02-26,66,Recep Tayyip Erdoğan is a Turkish politician serving as the current President of Turkey. He previously served as Prime Minister of Turkey from 2003 to 2014 and as Mayor of Istanbul from 1994 to 1998. ,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971059,00.html",Turkey
9,John Abizaid ,LEADERS,2004,United States Ambassador to Saudi Arabia,"Redwood City, CA",Male,1951-04-01,69,"John Philip Abizaid is a retired United States Army general and former U.S. Central Command commander who is currently the United States Ambassador to Saudi Arabia. Abizaid retired after 34 years of service. As of 2007, Abizaid is employed as a fellow of the Hoover Institution at Stanford University. ","www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971062,00.html",USA
