,Name,Category,Year,Link,Name_right,Profession,Birth Info,Description,Birthplace,Birthdate,Age,Pronouns
0,Kanye West,TITANS,2015,https://time.com/collection-post/3822841/kanye-west-2015-time-100/,Kanye West,American rapper,"Born: June 8, 1977 (age 43 years), Atlanta, GA","Kanye Omari West is an American rapper, record producer, and fashion designer. He has been influential in the 21st-century development of mainstream hip hop and popular music in general. ","Atlanta, GA","June 8, 1977",43,He
1,Lorne Michaels,TITANS,2015,https://time.com/collection-post/3822845/lorne-michaels-2015-time-100/,Lorne Michaels,American-Canadian television producer,"Born: November 17, 1944 (age 76 years), Toronto, Canada","Lorne Michaels CC is a Canadian-American television producer and screenwriter best known for creating and producing Saturday Night Live and producing the Late Night series, The Kids in the Hall and The Tonight Show. ","Toronto, Canada","November 17, 1944",76,
2,Mellody Hobson,TITANS,2015,https://time.com/collection-post/3822587/mellody-hobson-2015-time-100/,Mellody Hobson,American businesswoman,"Born: April 3, 1969 (age 51 years), Chicago, IL","Mellody Hobson is an American businesswoman who is the president and co-CEO of Ariel Investments. She is the former chairwoman of DreamWorks Animation, having stepped down after negotiating the acquisition of DreamWorks Animation SKG, Inc., by NBCUniversal in August, 2016. ","Chicago, IL","April 3, 1969",51,She
3,Tim Cook,TITANS,2015,https://time.com/collection-post/3822599/tim-cook-2015-time-100/,Tim Cook,Chief Executive Officer of Apple,"Born: November 1, 1960 (age 60 years), Mobile, AL","Timothy Donald Cook is an American business executive, philanthropist and engineer. Cook is the chief executive officer of Apple Inc., and previously served as the company's chief operating officer under its cofounder Steve Jobs. ","Mobile, AL","November 1, 1960",60,
4,Elizabeth Holmes,TITANS,2015,https://time.com/collection-post/3822734/elizabeth-holmes-2015-time-100/,Elizabeth Holmes,American businesswoman,"Born: February 3, 1984 (age 36 years), Washington, D.C.","Elizabeth Anne Holmes is an American businesswoman who founded and was the CEO of Theranos, a now-defunct health technology company. ","Washington, D.C.","February 3, 1984",36,
5,Charles Koch,TITANS,2015,https://time.com/collection-post/3822767/charles-koch-david-koch-2015-time-100/,Charles Koch,Chief Executive Officer of Koch Industries,"Born: November 1, 1935 (age 85 years), Wichita, KS","Charles de Ganahl Koch is an American businessman and philanthropist. As of March 2019, he was ranked as the 11th-richest person in the world, with an estimated net worth of $50.5 billion. ","Wichita, KS","November 1, 1935",85,he
6,Susan Wojcicki,TITANS,2015,https://time.com/collection-post/3822770/susan-wojcicki-2015-time-100/,Susan Wojcicki,CEO of YouTube,"Born: July 5, 1968 (age 52 years), Santa Clara County, CA","Susan Diane Wojcicki is the CEO of YouTube. She is the longest tenured CEO in the history of YouTube. Wojcicki was involved in the founding of Google, and became Google's first marketing manager in 1999. She later led the company's online advertising business and was put in charge of Google's original video service. ","Santa Clara County, CA","July 5, 1968",52,She
7,Chanda Kochhar,TITANS,2015,https://time.com/collection-post/3822610/chanda-kochhar-2015-time-100/,Chanda Kochhar,Executive,"Born: November 17, 1961 (age 59 years), Jodhpur, India","Chanda Kochhar was the managing director and chief executive officer of ICICI Bank. However, on 4 October 2018 she stepped down from her position following allegations of corruption. Amidst investigations related to Videocon bad loans, she was forced by the board of ICICI Bank to take indefinite leave. ","Jodhpur, India","November 17, 1961",59,she
8,Tony Fernandes,TITANS,2015,https://time.com/collection-post/3822614/tony-fernandes-2015-time-100/,Tony Fernandes,Entrepreneur,"Born: April 30, 1964 (age 56 years), Kuala Lumpur, Malaysia","Anthony Francis Fernandes PSM, CBE is a Malaysian entrepreneur. He is the founder of Tune Air Sdn. Bhd., who introduced the first budget no-frills airline, AirAsia, to Malaysians with the tagline ""Now everyone can fly"". ","Kuala Lumpur, Malaysia","April 30, 1964",56,He
9,Lee Daniels,TITANS,2015,https://time.com/collection-post/3822623/lee-daniels-2015-time-100/,Lee Daniels,American film writer,"Born: December 24, 1959 (age 60 years), Philadelphia, PA","Lee Daniels is an American film and television writer, director, and producer. Daniels produced 2001’s Academy Award winning Monster's Ball. ","Philadelphia, PA","December 24, 1959",60,
10,Reid Hoffman,TITANS,2015,https://time.com/collection-post/3822665/reid-hoffman-2015-time-100/,Reid Hoffman,American entrepreneur,"Born: August 5, 1967 (age 53 years), Palo Alto, CA","Reid Garrett Hoffman is an American internet entrepreneur, venture capitalist and author. Hoffman was the co-founder and executive chairman of LinkedIn, a business-oriented social network used primarily for professional networking. He is currently a partner at the venture capital firm Greylock Partners. ","Palo Alto, CA","August 5, 1967",53,He
11,Kim Kardashian West,TITANS,2015,https://time.com/collection-post/3822676/kim-kardashian-west-2015-time-100/,Kim Kardashian,American socialite,"Born: October 21, 1980 (age 40 years), Los Angeles, CA","Kimberly Noel Kardashian West is an American media personality, socialite, model, businesswoman, producer, and actress. ","Los Angeles, CA","October 21, 1980",40,
12,Janet Yellen,TITANS,2015,https://time.com/collection-post/3822773/janet-yellen-2015-time-100/,Janet Yellen,Former Chair of the Federal Reserve,"Born: August 13, 1946 (age 74 years), Brooklyn, New York, NY","Janet Louise Yellen is an American economist who is currently a distinguished fellow at the Brookings Institution and a professor emeritus at Haas School of Business at the University of California, Berkeley. ","Brooklyn, New York, NY","August 13, 1946",74,
13,Danny Meyer,TITANS,2015,https://time.com/collection-post/3822803/danny-meyer-2015-time-100/,Daniel Meyer,Restaurateur,"Born: March 14, 1958 (age 62 years), St. Louis, MO",Daniel Meyer is a New York City restaurateur and the Chief Executive Officer of the Union Square Hospitality Group. ,"St. Louis, MO","March 14, 1958",62,
14,Lei Jun,TITANS,2015,https://time.com/collection-post/3822814/lei-jun-2015-time-100/,Lei Jun,Chinese entrepreneur,"Born: December 16, 1969 (age 50 years), Xiantao, China","Lei Jun is a Chinese billionaire entrepreneur, investor and philanthropist who co-founded Xiaomi, one of the largest smartphone and consumer electronics companies in the world that in June 2018 raised US$4.72 billion after its listing at the Hong Kong Stock Exchange. ","Xiantao, China","December 16, 1969",50,
15,Bob Iger,TITANS,2015,https://time.com/collection-post/3822742/bob-iger-2015-time-100/,Robert Iger,Chairman of Disney,"Born: February 10, 1951 (age 69 years), New York, NY","Robert Allen Iger is an American business executive who is Executive Chairman of The Walt Disney Company. Before working for Disney, Bob served as the President of ABC Television from 1994 to 1995, and as President/COO of Capital Cities/ABC, Inc. from 1995 until Disney's acquisition of the company in 1996. ","New York, NY","February 10, 1951",69,
16,Satya Nadella,TITANS,2015,https://time.com/collection-post/3822749/satya-nadella-2015-time-100/,Satya Nadella,Chief Executive Officer of Microsoft,"Born: August 19, 1967 (age 53 years), Hyderabad, India","Satya Narayana Nadella is an Indian-American business executive. He is the chief executive officer of Microsoft, succeeding Steve Ballmer in 2014. Before becoming CEO, he was the executive vice president of Microsoft's cloud and enterprise group, responsible for building and running the company's computing platforms. ","Hyderabad, India","August 19, 1967",53,He
17,Jorge Paulo Lemann,TITANS,2015,https://time.com/collection-post/3822760/jorge-paulo-lemann-2015-time-100/,Jorge Paulo Lemann,Banker,"Born: August 26, 1939 (age 81 years), Rio de Janeiro, State of Rio de Janeiro, Brazil","Jorge Paulo Lemann is a Brazilian billionaire investment banker, and businessman with dual Brazilian and Swiss citizenship. As of October 2019, Lemann was ranked 37th richest in the world by Forbes, with an estimated net worth of US$24.6 billion. ","Rio de Janeiro, State of Rio de Janeiro, Brazil","August 26, 1939",81,
18,Misty Copeland,TITANS,2015,https://time.com/collection-post/3823308/misty-copeland-2015-time-100/,Misty Copeland,American ballet dancer,"Born: September 10, 1982 (age 38 years), Kansas City, MO","Misty Danielle Copeland is an American ballet dancer for American Ballet Theatre, one of the three leading classical ballet companies in the United States. On June 30, 2015, Copeland became the first African American woman to be promoted to principal dancer in ABT's 75-year history. ","Kansas City, MO","September 10, 1982",38,
19,Scott Kelly,PIONEERS,2015,https://time.com/collection-post/3823314/scott-kelly-2015-time-100/,Scott Kelly,American astronaut,"Born: February 21, 1964 (age 56 years), City of Orange, NJ","Scott Joseph Kelly is an American engineer, retired astronaut, and naval aviator. A veteran of four space flights, Kelly commanded the International Space Station on Expeditions 26, 45, and 46. Kelly's first spaceflight was as pilot of Space Shuttle Discovery during STS-103 in December 1999. ","City of Orange, NJ","February 21, 1964",56,
20,Emmanuelle Charpentier,PIONEERS,2015,https://time.com/collection-post/3822554/emmanuelle-charpentier-jennifer-doudna-2015-time-100/,Emmanuelle Charpentier,French professor,"Born: December 11, 1968 (age 51 years), Juvisy-sur-Orge, France","Emmanuelle Marie Charpentier is a French professor and researcher in microbiology, genetics and biochemistry. Since 2015, she has been a Director at the Max Planck Institute for Infection Biology in Berlin. In 2018, she founded an independent research institute, the Max Planck Unit for the Science of Pathogens. ","Juvisy-sur-Orge, France","December 11, 1968",51,she
21,Brian Chesky,PIONEERS,2015,https://time.com/collection-post/3822568/brian-chesky-2015-time-100/,Brian Chesky,"CEO of Airbnb, Inc.","Born: August 29, 1981 (age 39 years), Niskayuna, NY","Brian Joseph Chesky is an American businessman and industrial designer. He is the co-founder and CEO of the peer-to-peer lodging service Airbnb. Chesky was named one of Time's ""100 Most Influential People of 2015"". ","Niskayuna, NY","August 29, 1981",39,He
22,Jimmy Lai,PIONEERS,2015,https://time.com/collection-post/3823046/jimmy-lai-2015-time-100/,Jimmy Lai,Entrepreneur,"Born: December 8, 1948 (age 72 years), Guangzhou, China","Lai Chee-Ying, also known as Jimmy Lai, is a Hong Kong entrepreneur and social activist. He founded Giordano, an Asian clothing retailer, Next Digital, a Hong Kong-listed media company, and the popular newspaper Apple Daily. ","Guangzhou, China","December 8, 1948",72,He
23,Emma Watson,PIONEERS,2015,https://time.com/collection-post/3823057/emma-watson-2015-time-100/,Emma Watson,Actress,"Born: April 15, 1990 (age 30 years), Paris, France","Emma Charlotte Duerre Watson is an English actress, model, and activist. Born in Paris and raised in Oxfordshire, Watson attended the Dragon School and trained as an actress at the Oxford branch of Stagecoach Theatre Arts. ","Paris, France","April 15, 1990",30,
24,Vikram Patel,PIONEERS,2015,https://time.com/collection-post/3822953/vikram-patel-2015-time-100/,Vikram Patel,Indian psychiatrist,"Born: May 5, 1964 (age 56 years), Mumbai, India",Vikram Harshad Patel FMedSci is an Indian psychiatrist and researcher best known for his work on child development and mental disability in low-resource settings. ,"Mumbai, India","May 5, 1964",56,his
25,Pardis Sabeti,PIONEERS,2015,https://time.com/collection-post/3822958/pardis-sabeti-2015-time-100/,Pardis Sabeti,American-Iranian computational biologist,"Born: December 25, 1975 (age 44 years), Tehran, Iran","Pardis Christine Sabeti is an Iranian-American computational biologist, medical geneticist and evolutionary geneticist. ","Tehran, Iran","December 25, 1975",44,
26,Reese Witherspoon,PIONEERS,2015,https://time.com/collection-post/3822959/reese-witherspoon-2015-time-100/,Reese Witherspoon,American actress,"Born: March 22, 1976 (age 44 years), New Orleans, LA","Laura Jeanne Reese Witherspoon is an American actress, producer, and entrepreneur. The recipient of various accolades, including an Academy Award, two Golden Globe Awards, and a Primetime Emmy Award, she is one of the highest-paid actresses in the world as of 2019. ","New Orleans, LA","March 22, 1976",44,she
27,Bryan Stevenson,PIONEERS,2015,https://time.com/collection-post/3823265/bryan-stevenson-2015-time-100/,Bryan Stevenson,American lawyer,"Born: November 14, 1959 (age 61 years), Milton, DE","Bryan Stevenson is an American lawyer, social justice activist, founder/executive director of the Equal Justice Initiative, and a law professor at New York University School of Law. ","Milton, DE","November 14, 1959",61,
28,Chai Jing,PIONEERS,2015,https://time.com/collection-post/3823269/chai-jing-2015-time-100/,Chai Jing,Chinese journalist,"Born: January 1, 1976 (age 44 years), Linfen, China","Chai Jing is a Chinese journalist, former television host, author and environmental activist. In 1995, Chai began her broadcast career as a radio host in Hunan Province. From 2001 to 2013, she worked for China Central Television as a well respected investigative reporter and host. ","Linfen, China","January 1, 1976",44,her
29,Magnus MacFarlane-Barrow,PIONEERS,2015,https://time.com/collection-post/3823271/magnus-macfarlane-barrow-2015-time-100/,Magnus MacFarlane-Barrow,Null,"Born: 1968 (age 52 years), Aberdeen, United Kingdom",Null,"Aberdeen, United Kingdom",1968,52,
30,Kira Orange Jones,PIONEERS,2015,https://time.com/collection-post/3822936/kira-orange-jones-2015-time-100/,Null,Null,Null,Null,,,,
31,Aura Elena Farfán,PIONEERS,2015,https://time.com/collection-post/3822942/aura-elena-farfan-2015-time-100/,Aura Elena Farfán,Guatemalan human rights activists,"Born: February 2, 1940 (age 80 years)","Aura Elena Farfán is a Guatemalan human rights activist. She is one of the founders and Executive Director of FAMDEGUA, a Guatemala City-based organization dedicated to surviving family members of people who have been disappeared by the Guatemalan government. It is one of Guatemala's oldest human rights organizations. ","Guatemala City, Guatemala","February 2, 1940",80,She
32,Martin Blaser,PIONEERS,2015,https://time.com/collection-post/3822950/martin-blaser-2015-time-100/,Martin J. Blaser,Professor,h-index: 171,Martin J. Blaser is the director of the Center for Advanced Biotechnology and Medicine at Rutgers Biomedical and Health Sciences and the Henry Rutgers Chair of the Human Microbiome and professor of medicine and microbiology at the Rutgers Robert Wood Johnson Medical School in New Jersey. ,"Rutgers, NJ",,,
33,Anita Sarkeesian,PIONEERS,2015,https://time.com/collection-post/3822727/anita-sarkeesian-2015-time-100/,Anita Sarkeesian,American-Canadian critic,"Born: 1983 (age 37 years), Ontario, Canada","Anita Sarkeesian is a Canadian-American feminist media critic and public speaker. She is the founder of Feminist Frequency, a website that hosts videos and commentary analyzing portrayals of women in popular culture. ","Ontario, Canada",1983,37,She
34,Tom Catena,PIONEERS,2015,https://time.com/collection-post/3823233/tom-catena-2015-time-100/,Tom Catena,American physician,"Born: April 27, 1964 (age 56 years), Amsterdam, NY",Thomas Catena is an American physician who has been practising in Gidel in the Nuba Mountains of Sudan since 2008. ,"Amsterdam, NY","April 27, 1964",56,
35,Rudolph Tanzi,PIONEERS,2015,https://time.com/collection-post/3823236/rudolph-tanzi-2015-time-100/,Rudolph E. Tanzi,Professor,"Born: 1958 (age 62 years), Providence, RI","Rudolph Tanzi is the Joseph P. and Rose F. Kennedy Professor of Neurology at Harvard University, and Vice-Chair of Neurology, Director of the Genetics and Aging Research Unit, and Co-Director of the Henry and Allison McCance Center for Brain Health at Massachusetts General Hospital. ","Providence, RI",1958,62,
36,Mustafa Hassan,PIONEERS,2015,https://time.com/collection-post/3822966/mustafa-hassan-2015-time-100/,See results about,Null,Null,Null,,,,
37,Laverne Cox,PIONEERS,2015,https://time.com/collection-post/3822970/laverne-cox-2015-time-100/,Laverne Cox,American actress,"Born: May 29, 1972 (age 48 years), Mobile, AL","Laverne Cox is an American actress and LGBTQ+ advocate. She rose to prominence with her role as Sophia Burset on the Netflix series Orange Is the New Black, becoming the first openly transgender person ... ","Mobile, AL","May 29, 1972",48,She
38,Sarah Koenig,PIONEERS,2015,https://time.com/collection-post/3823276/sarah-koenig-2015-time-100/,Sarah Koenig,American journalist,"Born: July 1969 (age 51 years), Sagaponack, NY","Sarah Koenig is an American journalist, public radio personality, former producer of the television and radio program This American Life, and the host and executive producer of the podcast Serial. ","Sagaponack, NY",July 1969,51,
39,Bradley Cooper,PIONEERS,2015,https://time.com/collection-post/3822978/bradley-cooper-2015-time-100/,Bradley Cooper,American actor,"Born: January 5, 1975 (age 45 years), Philadelphia, PA","Bradley Charles Cooper is an American actor and filmmaker. He has been nominated for many awards, including eight Academy Awards and a Tony Award, and has won two Grammy Awards and a BAFTA Award. ","Philadelphia, PA","January 5, 1975",45,He
40,Richard Linklater,ARTISTS,2015,https://time.com/collection-post/3822985/richard-linklater-2015-time-100/,Richard Linklater,American film director,"Born: July 30, 1960 (age 60 years), Houston, TX","Richard Stuart Linklater is an American film director, producer, and screenwriter. He is known for films that revolve mainly around suburban culture and the effects of the passage of time. ","Houston, TX","July 30, 1960",60,He
41,Chris Ofili,ARTISTS,2015,https://time.com/collection-post/3822991/chris-ofili-2015-time-100/,Chris Ofili,British painter,"Born: October 10, 1968 (age 52 years), Manchester, United Kingdom","Christopher Ofili, CBE is a British Turner Prize-winning painter who is best known for his paintings incorporating elephant dung. He was one of the Young British Artists. Since 2005, Ofili has been living and working in Trinidad and Tobago, where he currently resides in Port of Spain. ","Manchester, United Kingdom","October 10, 1968",52,his
42,Julianna Margulies,ARTISTS,2015,https://time.com/collection-post/3822964/julianna-margulies-2015-time-100/,Julianna Margulies,American actress,"Born: June 8, 1966 (age 54 years), Spring Valley, NY","Julianna Margulies is an American actress and producer. After several small television roles, Margulies achieved wide recognition for her starring role as Carol Hathaway on NBC's long-running medical drama series ER, for which she received a Primetime Emmy Award. ","Spring Valley, NY","June 8, 1966",54,her
43,Amy Schumer,ARTISTS,2015,https://time.com/collection-post/3823137/amy-schumer-2015-time-100/,Amy Schumer,American stand-up comedian,"Born: June 1, 1981 (age 39 years), Upper East Side, New York, NY",Amy Beth Schumer is an American stand-up comedian and actress. She ventured into comedy in the early 2000s before appearing as a contestant on the fifth season of the NBC reality competition series Last Comic Standing in 2007. ,"Upper East Side, New York, NY","June 1, 1981",39,She
44,Alexander Wang,ARTISTS,2015,https://time.com/collection-post/3823143/alexander-wang-2015-time-100/,Alexander Wang,American fashion designer,"Born: December 26, 1983 (age 36 years), San Francisco, CA","Alexander Wang is an American fashion designer. Wang began his Alexander Wang fashion brand in 2005 and came to prominence after being awarded the CFDA/Vogue Fashion Fund in 2008. From November 2012 through July 2015, Wang was Creative Director at Balenciaga. ","San Francisco, CA","December 26, 1983",36,his
45,Jill Soloway,ARTISTS,2015,https://time.com/collection-post/3822910/jill-soloway-2015-time-100/,Joey Soloway,American television director,"Born: September 26, 1965 (age 55 years), Chicago, IL","Joey Soloway is an American television creator, showrunner, director and writer. Soloway is known for creating, writing, executive producing and directing the Amazon original series Transparent, winning ... ","Chicago, IL","September 26, 1965",55,
